ID_REF,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
ILMN_3306388,134.62,127.282,165.63,137.932,135.042,117.601,119.091,129.362,116.75,114.161
ILMN_3306440,641.727,512.252,439.233,540.124,418.798,596.164,405.975,351.999,395.301,377.626
ILMN_3306444,154.865,114.115,111.404,111.562,109.632,103.776,118.416,109.64,103.332,118.973
ILMN_3306457,108.367,117.018,104.111,87.5389,124.469,107.822,110.148,112.168,104.625,105.567
ILMN_3306472,96.5207,91.811,91.3426,87.3251,95.0254,98.4641,102.569,111.224,86.7768,100.499
ILMN_3306482,182.651,243.638,233.222,197.432,138.511,225.025,267.09,280.366,240.31,169.167
ILMN_3306573,84.9396,95.0753,92.0879,100.44,93.9873,92.1706,94.0018,100.702,111.609,93.738
ILMN_3306628,96.2247,100.73,105.69,103.527,113.564,96.781,104.037,102.459,118.492,88.2402
ILMN_3306632,112.165,115.285,123.761,114.287,168.214,153.347,150.739,117.278,174.857,161.116
ILMN_3306654,95.5976,94.0541,89.5923,109.395,111.439,95.0509,100.205,103.458,101.875,101.655
ILMN_3306672,179.947,135.056,127.205,153.951,151.933,135.629,134.508,115.347,107.737,124.983
ILMN_3306677,105.51,100.047,115.064,107.73,99.8645,102.527,97.9348,121.8,88.076,98.3872
ILMN_3306691,95.0018,79.9876,100.399,88.7749,75.9627,80.4033,95.5173,84.2861,92.5193,85.7658
ILMN_3306725,96.4657,119.045,119.731,113.383,126.178,106.741,112.792,113.703,119.939,113.034
ILMN_3306730,769.771,594.292,490.447,597.825,730.287,537.8,601.388,469.787,462.257,627.657
ILMN_3306742,105.879,116.1,156.764,117.556,137.828,113.265,122.366,155.313,163.021,142.793
ILMN_3306752,88.3241,94.2711,95.8848,105.184,95.058,101.578,99.6299,130.893,103.401,102.749
ILMN_3306801,102.519,91.7206,106.662,117.471,108.866,90.6573,94.2211,95.9619,115.251,120.999
ILMN_3306852,97.013,114.291,96.2779,93.0518,96.6877,117.249,109.647,88.5139,85.6744,99.0604
ILMN_3306854,95.5275,110.105,94.7525,110.643,93.4805,93.813,94.1985,99.8391,99.2165,98.9186
